ind,xx,yy
0,303938.0614,2786357.6759
1,303966.9412,2786465.1125
2,297861.997,2781474.998
3,297777.303,2781396.8
4,298540.1173,2782229.4827
5,298541.001,2782228.003
6,298538.2359,2782227.3445
7,298321.0728,2782008.5867
8,298523.3571,2782210.4338
9,297863.3077,2781480.4959
10,310773.996,2781075.998
11,310789.4579,2781123.8223
12,307008.996,2786860.997
13,307316.148,2786317.912
14,307041.998,2787001.001
15,306795.999,2786731.004
16,305383.123,2782886.409
17,305726.1544,2782922.0146
18,305468.633,2782666.187
19,305451.0068,2782636.0338
20,305726.1542,2782922.0143
21,305712.3779,2782910.668
22,305534.5447,2782709.6598
23,305575.004,2782539.004
24,305369.5013,2782119.6674
25,305374.676,2782107.1142
26,305281.0,2782403.0
27,305354.8473,2782156.4537
28,305407.562,2782476.928
29,305388.1248,2782400.1876
30,305388.1245,2782400.1879
31,305387.9969,2782395.9997
32,305377.646,2782656.446
33,305317.227,2782549.695
34,305234.215,2782507.731
35,305182.003,2782762.996
36,305288.168,2782765.107
37,305053.997,2782744.005
38,305065.71,2782647.645
39,305104.997,2783220.002
40,305223.352,2783177.088
41,305051.003,2783079.998
42,305361.149,2783351.605
43,305081.002,2783230.003
44,304955.0,2783674.998
45,305086.157,2783241.274
46,304972.0,2783311.001
47,305030.506,2783104.631
48,305217.001,2783094.0
49,306727.0265,2785649.7513
50,306784.591,2785902.331
51,306680.002,2784624.003
52,306668.999,2784578.998
53,306757.999,2784450.995
54,306780.541,2785612.2324
55,306161.998,2785556.996
56,305144.003,2785453.996
57,306249.694,2786360.777
58,306330.586,2786118.462
59,306510.218,2786329.563
60,305210.996,2785877.998
61,305171.998,2785594.0
62,304626.32,2782675.478
63,304952.468,2782710.731
64,304368.996,2782806.001
65,304646.999,2783074.998
66,304401.998,2783251.995
67,304522.003,2781690.999
68,304183.656,2782106.511
69,304086.556,2782212.201
70,304011.001,2781743.004
71,304430.999,2781989.999
72,304158.622,2782142.344
73,304114.997,2782425.003
74,304129.002,2782386.999
75,304146.002,2782458.996
76,304315.003,2781932.003
77,304075.099,2782242.204
78,303959.004,2782452.995
79,303922.002,2782398.0
80,303813.0,2782363.997
81,303491.999,2782248.005
82,303792.0,2782367.997
83,303308.003,2780814.001
84,303244.004,2780321.002
85,303584.999,2781804.0
86,303103.996,2781822.002
87,302844.0,2781273.997
88,304108.002,2781576.998
89,303391.773,2779835.063
90,303545.143,2780050.655
91,303526.485,2780246.265
92,303365.931,2780071.767
93,303525.619,2780271.067
94,303021.002,2779579.998
95,303030.999,2779579.998
96,303026.998,2779604.0
97,303020.004,2779593.999
98,303003.004,2779580.998
99,303115.0,2779439.004
100,303136.998,2779754.995
101,303367.003,2779762.996
102,302958.001,2782534.004
103,303302.592,2782973.608
104,303948.001,2782590.999
105,302423.994,2782488.919
106,302627.003,2782470.997
107,302011.998,2782416.002
108,302690.004,2782518.002
109,302777.997,2782045.005
110,302661.002,2782820.002
111,302826.002,2781249.995
112,302712.002,2780982.998
113,302718.493,2779256.675
114,302860.002,2779437.004
115,301837.999,2781222.002
116,302358.997,2781744.004
117,302806.998,2781270.997
118,302543.001,2781329.003
119,302312.526,2781762.796
120,302264.001,2781968.997
121,302293.002,2781974.998
122,303868.0,2781229.003
