ind,idd,xcor,ycor
0,6300000009529,301956.679454,2778611.6482
1,6300000009530,301121.058749,2779250.16984
2,6300000009531,300516.308494,2779842.95707
3,6300000009532,300766.43052,2781050.15362
4,6300000009533,297707.623888,2780382.8892
5,6300000009534,297114.89438,2779755.99147
6,6300000009535,302364.814528,2777984.38764
7,6300000009536,298942.33951,2781119.67033
8,6300000009537,300233.630352,2780531.77357
9,6300000009835,302980.122632,2775338.97224
10,6300000009837,303059.768401,2776310.156
11,6300000009838,302714.213323,2777192.08114
12,6300000010085,309956.839567,2775201.93901
13,6300000010086,309068.545096,2774637.68453
14,6300000010087,308088.521069,2774773.14761
15,6300000010090,307182.11329,2775014.12088
16,6300000010093,311624.979609,2773363.74154
17,6300000010095,310776.895694,2775197.25856
18,6300000010097,311345.938976,2773964.72956
19,6300000010428,305201.790869,2774764.81681
20,6300000010429,303067.231365,2772850.75493
21,6300000010439,302409.594652,2772814.03847
22,6300000010441,302464.149035,2773713.56531
23,6300000010446,302532.020428,2772253.16527
24,6300000010452,303763.048384,2772333.61904
25,6300000010454,304882.580922,2772615.5093
26,6300000010457,306010.926221,2775358.39411
27,6300000010459,303728.678343,2771628.73934
28,6300000010462,304702.857967,2771726.50577
29,6300000010813,301703.967419,2772871.06787
30,6300000010816,302483.084779,2771697.79164
31,6300000010820,301469.881392,2771300.87277
32,6300000011039,305726.120013,2772922.98899
33,6300000011043,305621.372471,2771631.5855
34,6300000011048,306835.246188,2771608.79166
35,6300000011053,308212.444433,2771459.90182
36,6300000011252,312244.854962,2772117.86194
37,6300000011253,309801.564961,2771480.1997
38,6300000011254,311175.50036,2771658.71585
39,6300000011267,312141.217153,2772615.28928
40,6300000011458,301230.324231,2770538.27876
41,6300000011459,300400.964,2769797.15721
42,6300000011996,302786.683054,2768754.32653
43,6300000012007,303676.56945,2770618.56651
44,6300000012009,302773.865166,2770871.47093
45,6300000012017,303281.960236,2769661.54697
46,6300000012019,303367.362381,2768062.37311
47,6300000012021,301379.15294,2769949.8887
48,6300000012026,302249.156599,2769550.00335
49,6300000012028,302035.467398,2770383.14378
50,6300000012033,303945.14959,2767483.11359
51,6300000012040,302283.618076,2771223.26489
52,6300000012328,308685.19622,2770815.06548
53,6300000012329,307959.599843,2770447.98004
54,6300000012337,306714.495801,2769573.46222
55,6300000012342,307477.687952,2769577.56327
56,6300000012345,307069.936151,2770480.12315
57,6300000012636,305783.379844,2768536.93554
58,6300000012637,306369.257945,2767946.84857
59,6300000012641,304802.613469,2770518.35684
60,6300000012642,304695.264943,2769605.1613
61,6300000012643,306173.690301,2770516.84669
62,6300000012661,303948.060722,2769644.23708
63,6300000012670,305763.779837,2769613.78921
64,6300000012677,304866.389472,2768784.66946
65,6300000012680,305552.525891,2770506.10565
66,6300000012982,307893.044157,2765694.33111
67,6300000012984,306209.446764,2766435.32264
68,6300000012985,306298.050207,2765825.91381
69,6300000012986,307381.475161,2765734.81501
70,6300000012988,304577.567475,2765016.73668
71,6300000012993,308544.677857,2765712.38285
72,6300000012994,304408.416813,2766049.5102
73,6400000027420,178245.88359,2520139.66478
74,6400000027592,179300.232644,2517877.93593
75,6400000027593,179901.584386,2516108.43211
76,6400000027595,179604.57912,2517067.02764
77,6400000028153,182917.986616,2502886.06855
78,6400000028155,184545.634653,2502953.92775
79,6400000028159,183799.311257,2502986.9883
80,6400000028160,185373.483446,2502857.04842
81,6400000028431,187357.438687,2502507.85027
82,6400000028651,178721.337483,2513266.31178
83,6400000028653,179754.518864,2513716.14228
84,6400000028655,180248.393414,2514389.87918
85,6400000028657,178322.237704,2511356.3163
86,6400000028669,178302.054067,2512155.81349
87,6400000028868,178348.417869,2507455.70972
88,6400000028870,178725.679485,2508555.10586
89,6400000028874,179013.601265,2509884.23118
90,6400000029186,178372.232679,2505446.21692
91,6400000029187,178319.925542,2504379.36483
92,6400000029427,175308.235941,2502611.57205
93,6400000029428,178349.023491,2506469.11429
94,6400000029579,178189.637727,2503669.27417
95,6400000029588,179126.061139,2503591.81669
96,6400000029592,179761.478645,2503531.75089
97,6400000029733,177400.145571,2503389.66276
98,6400000029735,178087.432806,2502918.74171
99,6400000029838,176340.719276,2502745.21495
100,6400000030028,181535.05662,2503208.3132
101,6400000030032,182200.655055,2502981.24774
102,6400000030036,178493.926465,2501624.76678
103,6400000030044,180830.262833,2503443.50237
104,6400000030278,180971.003664,2497907.11419
105,6400000030282,180278.656497,2498812.94532
106,6400000030286,178873.01096,2500765.57383
107,6400000030290,179598.297165,2499740.02156
108,6400000030545,183559.056689,2496178.61714
109,6400000030547,182557.708289,2496748.96605
110,6500000005650,294919.452851,2784489.8457
111,6500000005651,296371.552921,2781033.68203
112,6500000005652,296275.773441,2782926.25474
113,6500000006385,298406.227723,2774774.03641
114,6500000006386,296879.185129,2775968.30969
115,6500000006389,297694.376981,2775348.26304
116,6500000006752,300155.772657,2773654.42874
117,6500000006753,299115.800223,2774323.53964
118,6500000006755,297534.062323,2770987.09477
119,6500000006759,299512.15408,2772473.53777
120,6500000006760,300477.615493,2772826.1797
121,6500000006762,298812.701305,2772010.38285
122,6500000007316,293927.072723,2769488.98539
123,6500000007319,295628.453308,2769865.5374
124,6500000007320,296514.840141,2770241.25501
125,6500000007326,292617.709001,2769055.44386
126,6500000007327,291507.212082,2768262.14731
127,6500000007541,302011.126608,2767286.90486
128,6500000007878,297176.679591,2768410.81337
129,6500000007882,296632.026588,2767365.64246
130,6500000007885,297623.787973,2769218.74137
131,6500000007893,296339.640175,2766793.87726
132,6500000007897,295640.867331,2765582.30029
133,6500000008328,301369.159937,2764766.98158
134,6500000008331,301569.998257,2766148.32494
135,6500000008332,300928.493493,2765176.72113
136,6500000008704,293956.123422,2762174.42128
137,6500000008710,295321.203726,2764200.88692
138,6500000008713,294838.512096,2762880.63946
139,6500000009076,304645.541586,2762260.47012
