ind,station,time,outdg,indg
0,0,0.0,9,7
1,0,3600.0,7,7
2,0,7200.0,4,2
3,0,10800.0,8,4
4,0,14400.0,3,1
5,0,18000.0,7,5
6,0,21600.0,13,7
7,0,25200.0,29,14
8,0,28800.0,34,36
9,0,32400.0,50,36
10,0,36000.0,75,37
11,0,39600.0,68,53
12,0,43200.0,78,84
13,0,46800.0,120,103
14,0,50400.0,95,94
15,0,54000.0,112,116
16,0,57600.0,128,109
17,0,61200.0,119,105
18,0,64800.0,100,109
19,0,68400.0,76,78
20,0,72000.0,45,43
21,0,75600.0,44,45
22,0,79200.0,35,35
23,0,82800.0,22,21
24,0,86400.0,9,14
25,0,90000.0,6,2
26,0,93600.0,0,5
27,0,97200.0,7,0
28,0,100800.0,3,1
29,0,104400.0,2,8
30,0,108000.0,32,30
31,0,111600.0,102,63
32,0,115200.0,146,71
33,0,118800.0,45,45
34,0,122400.0,38,32
35,0,126000.0,33,35
36,0,129600.0,49,58
37,0,133200.0,56,54
38,0,136800.0,69,57
39,0,140400.0,74,63
40,0,144000.0,54,64
41,0,147600.0,63,78
42,0,151200.0,34,56
43,0,154800.0,33,29
44,0,158400.0,17,12
45,0,162000.0,14,14
46,0,165600.0,7,4
47,0,169200.0,7,7
48,0,172800.0,5,5
49,0,176400.0,3,3
50,0,180000.0,1,1
51,0,183600.0,3,0
52,0,187200.0,0,1
53,0,190800.0,7,7
54,0,194400.0,39,23
55,0,198000.0,89,66
56,0,201600.0,138,77
57,0,205200.0,83,46
58,0,208800.0,56,39
59,0,212400.0,43,44
60,0,216000.0,70,78
61,0,219600.0,66,73
62,0,223200.0,68,69
63,0,226800.0,86,74
64,0,230400.0,103,89
65,0,234000.0,127,123
66,0,237600.0,159,161
67,0,241200.0,117,121
68,0,244800.0,92,82
69,0,248400.0,72,66
70,0,252000.0,27,37
71,0,255600.0,5,2
72,0,259200.0,6,1
73,0,262800.0,1,3
74,0,266400.0,3,1
75,0,273600.0,1,1
76,0,277200.0,6,5
77,0,280800.0,15,9
78,0,284400.0,72,43
79,0,288000.0,109,57
80,0,291600.0,45,35
81,0,295200.0,36,30
82,0,298800.0,35,32
83,0,302400.0,72,46
84,0,306000.0,65,73
85,0,309600.0,57,66
86,0,313200.0,76,60
87,0,316800.0,114,80
88,0,320400.0,93,110
89,0,324000.0,140,138
90,0,327600.0,98,83
91,0,331200.0,79,66
92,0,334800.0,52,50
93,0,338400.0,43,47
94,0,342000.0,13,14
95,0,345600.0,7,8
96,0,349200.0,4,6
97,0,352800.0,3,0
98,0,356400.0,3,0
99,0,360000.0,1,1
100,0,363600.0,8,5
101,0,367200.0,33,29
102,0,370800.0,105,60
103,0,374400.0,135,74
104,0,378000.0,57,50
105,0,381600.0,32,33
106,0,385200.0,42,53
107,0,388800.0,70,60
108,0,392400.0,60,70
109,0,396000.0,63,59
110,0,399600.0,67,58
111,0,403200.0,101,100
112,0,406800.0,127,116
113,0,410400.0,144,147
114,0,414000.0,108,98
115,0,417600.0,86,67
116,0,421200.0,94,80
117,0,424800.0,55,63
118,0,428400.0,19,17
119,0,432000.0,5,3
120,0,435600.0,4,11
121,0,439200.0,7,2
122,0,442800.0,4,0
123,0,446400.0,3,2
124,0,450000.0,9,7
125,0,453600.0,42,29
126,0,457200.0,105,69
127,0,460800.0,129,69
128,0,464400.0,54,54
129,0,468000.0,40,41
130,0,471600.0,50,39
131,0,475200.0,65,86
132,0,478800.0,83,72
133,0,482400.0,81,85
134,0,486000.0,89,96
135,0,489600.0,147,124
136,0,493200.0,151,161
137,0,496800.0,165,162
138,0,500400.0,139,112
139,0,504000.0,93,75
140,0,507600.0,98,78
141,0,511200.0,58,59
142,0,514800.0,23,19
143,0,518400.0,6,7
144,0,522000.0,12,11
145,0,525600.0,4,4
146,0,529200.0,10,2
147,0,532800.0,10,0
148,0,536400.0,5,5
149,0,540000.0,8,10
150,0,543600.0,21,21
151,0,547200.0,34,25
152,0,550800.0,58,46
153,0,554400.0,39,67
154,0,558000.0,61,61
155,0,561600.0,74,66
156,0,565200.0,102,76
157,0,568800.0,100,87
158,0,572400.0,131,95
159,0,576000.0,104,110
160,0,579600.0,148,103
161,0,583200.0,93,111
162,0,586800.0,85,80
163,0,590400.0,77,52
164,0,594000.0,48,44
165,0,597600.0,37,46
166,0,601200.0,16,29
167,100,0.0,7,2
168,100,3600.0,5,2
169,100,7200.0,3,1
170,100,10800.0,1,0
171,100,14400.0,1,0
172,100,18000.0,0,3
173,100,21600.0,2,0
174,100,25200.0,2,0
175,100,28800.0,5,9
176,100,32400.0,9,12
177,100,36000.0,15,12
178,100,39600.0,17,30
179,100,43200.0,24,28
180,100,46800.0,42,31
181,100,50400.0,35,54
182,100,54000.0,64,51
183,100,57600.0,64,42
184,100,61200.0,21,23
