ind,sno,xx,yy
0,1,307305.906845,2770423.28051
1,2,306247.743712,2770462.75834
2,3,307031.334005,2770083.10797
3,4,306745.10501,2769886.84177
4,5,307384.541382,2769947.97343
5,6,307082.085571,2769744.24749
6,7,307078.946439,2769556.23691
7,8,306883.119259,2769796.34003
8,9,307960.984594,2769399.45961
9,10,307131.151524,2769071.53871
10,11,306270.807709,2769763.13412
11,12,306691.076596,2768850.15251
12,13,308898.129163,2770123.45942
13,14,304517.072406,2773001.84372
14,15,307719.522477,2771372.65485
15,16,308441.442801,2769899.29736
16,17,306009.778937,2772385.37364
17,18,305725.697711,2771237.54276
18,19,307503.89635,2769069.65589
19,20,304829.024267,2768755.82528
20,21,305388.75251,2772312.50161
21,22,308330.563792,2771286.96937
22,23,310820.001091,2772013.17566
23,24,304238.264761,2769532.60437
24,25,307722.093722,2770931.47654
25,26,309770.727835,2771462.2304
26,27,312221.878939,2771976.95856
27,28,307985.193074,2771232.7727
28,29,303136.818912,2769385.38724
29,30,304939.83612,2767776.86709
30,31,303949.197523,2768366.52278
31,32,305825.830925,2768536.99626
32,33,306592.426396,2771297.82065
33,34,303769.414361,2772348.56072
34,35,303805.841108,2772526.92921
35,36,304653.26293,2768213.91318
36,37,303381.962883,2769614.5228
37,38,303375.123097,2768833.58874
38,39,311970.993707,2772342.4628
39,40,309171.325965,2770654.11222
40,41,311924.446112,2771170.86959
41,42,308700.407582,2770811.58632
42,43,311975.574909,2769865.58023
43,44,312168.583853,2772534.99198
44,45,303950.32186,2767518.82792
45,46,311649.602357,2772170.42305
46,47,303870.231547,2770527.38861
47,48,311366.553708,2771727.17967
48,49,305322.765611,2770419.87962
49,50,306517.344369,2772762.08352
50,51,304154.023937,2773088.0152
51,52,304173.672832,2771950.51008
52,53,304146.172738,2770844.94201
53,54,304300.935714,2769075.16331
54,55,305435.548265,2771373.38129
55,56,302708.227926,2770193.87688
56,57,304011.115081,2768788.12504
57,58,302692.008141,2770893.08674
58,59,303052.777726,2771665.42336
59,60,303822.610767,2773007.61577
60,61,304474.380469,2767337.03227
61,62,302503.898173,2768849.81997
62,63,305059.870255,2770049.74024
63,64,302173.395582,2770061.00798
64,65,300734.426832,2768388.77321
65,66,304220.963916,2766718.83233
66,67,302110.550206,2770636.75614
67,68,301119.463032,2768738.01447
68,69,305293.326953,2765871.21615
69,70,306677.992693,2769522.78986
70,71,305926.968769,2769545.50412
71,72,303411.631652,2771266.28802
72,73,301469.372732,2773874.81567
73,74,303539.238951,2769628.09792
74,75,306274.550343,2769221.91706
75,76,303224.22646,2772126.88281
76,77,306799.545039,2772447.01235
77,78,302386.777688,2773833.55831
78,79,302483.87965,2772666.5541
79,80,300042.267864,2768916.23893
80,81,303343.649688,2768157.45551
81,82,301330.528398,2770501.43593
82,83,304005.150932,2769556.71441
83,84,300750.832514,2769161.98417
84,85,305412.73304,2769585.16833
85,86,304998.964176,2772793.76191
86,87,304802.016567,2769551.24733
87,88,307649.678009,2769536.04865
88,89,302112.822681,2768903.26358
89,90,300627.323462,2770056.29847
90,91,302788.908881,2773702.74153
91,92,301174.735106,2771036.96277
92,93,307508.735348,2768543.19736
93,94,304618.000145,2765139.32681
94,95,300226.60864,2768460.88991
95,96,307160.432765,2772716.578
96,97,302930.25103,2775054.21112
97,98,304528.280094,2765817.30438
98,99,302536.38911,2772288.04278
99,100,303549.193069,2770950.25391
100,101,303327.094002,2770718.43518
101,102,303017.709084,2768143.22794
102,103,300505.176971,2769412.40332
103,104,304581.040054,2766332.02645
104,105,300998.055816,2770791.9502
105,106,300222.22123,2769517.47472
106,107,301406.331477,2769906.23876
107,108,302038.707254,2773996.3832
108,109,303548.85406,2773813.92365
109,110,306576.969896,2775462.19581
110,111,304843.259748,2770338.52567
111,112,300729.107206,2781097.19527
112,113,306628.582054,2770073.32186
113,114,303489.929091,2778056.32562
114,115,302521.833104,2771219.74797
115,116,303478.678509,2776529.23227
116,117,300276.763813,2780555.52126
117,118,300328.82692,2781037.33324
118,119,305995.733601,2775216.5485
119,120,300482.146471,2769800.55498
120,121,304542.032772,2771754.6999
121,122,308049.84002,2774726.7926
122,123,303865.314845,2778768.60583
123,124,302254.674315,2778711.15281
124,125,300302.757625,2770146.59269
125,126,305339.68714,2768334.42004
126,127,312498.093199,2774037.08875
127,128,305175.08095,2768858.23758
128,129,309039.717216,2774577.18501
129,130,302416.456384,2769361.0055
130,131,307367.062969,2774684.13694
131,132,303812.269944,2767659.05205
132,133,303035.460155,2778268.44118
133,134,302710.421453,2777327.97669
134,135,302004.537995,2778560.65807
135,136,302188.094056,2778953.03644
136,137,299714.74993,2781151.04864
137,138,308059.597882,2770393.24528
138,139,301512.497623,2771911.40882
139,140,301746.87778,2772898.4552
140,141,307539.498327,2764780.00376
141,142,307962.8435,2765650.75904
142,143,308420.97417,2765642.95947
143,144,308201.657317,2764612.33185
144,145,302072.375562,2773263.45327
145,146,303111.160705,2776131.68863
146,147,302634.291592,2775756.4402
147,148,302272.456671,2778098.45224
148,149,301392.897496,2778796.70789
149,150,307865.502533,2769950.4575
150,151,305505.6971,2764506.32077
151,152,302369.783838,2775316.22743
152,153,302090.385324,2772509.97228
153,154,302436.099267,2776223.22692
154,155,308010.325362,2774340.26364
155,156,312139.082785,2773496.22344
